label,stadium_id,name,city,latitude,longitude,capacity,shared_with,opened
current,NWMW84L5lz,Sports Illustrated Stadium,"Harrison, NJ",40.7367,-74.1503,25000.0,New York Red Bulls (MLS),
future,ETIHAD_PARK,Etihad Park,"Willets Point, Queens, NY",40.758056,-73.843333,25000.0,New York City FC (MLS),2027.0
