from_id,GEOID,travel_time_minutes,site_id,site_name
yankee_stadium,36081046700,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081046800,82.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081047000,87.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081047100,67.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081047200,90.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081047300,61.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081047500,67.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081004500,56.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081004700,51.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081005000,79.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081005300,50.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081005400,77.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081005800,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081006100,49.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081030904,48.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081043702,76.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081044301,72.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081036500,64.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081036600,98.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081035800,106.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081036700,63.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081036800,93.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081065401,100.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081065402,111.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081037100,66.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081037300,62.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081037600,110.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081038100,64.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081007700,52.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081008600,81.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081008700,55.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081008800,87.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081007900,55.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081008100,56.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081008300,52.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009100,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009400,82.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009500,48.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009600,89.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009800,89.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081009900,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081034700,51.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081035200,98.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081035300,57.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081026501,50.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081037502,62.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081089202,108.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081027301,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081000104,43.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081027101,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081040702,65.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081040302,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081040102,60.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081027302,62.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081040902,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081043900,76.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081044000,90.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081044601,74.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081007500,49.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081006300,48.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081007100,49.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010000,87.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010300,56.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010500,64.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010600,80.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010701,79.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011000,86.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011200,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011300,52.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081010200,89.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011500,47.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011700,49.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081011800,86.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081012200,75.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081012301,59.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081012400,81.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081012602,84.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013200,76.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013400,73.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013500,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013600,71.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013700,48.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081013800,72.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014000,72.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014202,74.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014500,53.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015000,85.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015200,78.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015400,83.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015500,54.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015600,82.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081015700,50.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014700,53.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014800,83.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081014900,54.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018502,51.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081016300,54.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081016600,85.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081016800,89.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081016900,58.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081017000,86.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081066402,111.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081017200,90.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081017400,91.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081017600,94.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018000,92.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081025301,48.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081018200,87.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081025302,51.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081066404,117.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081033403,96.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081033404,97.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081000102,46.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081053501,71.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081026502,55.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081048301,57.0,yankee_stadium,Yankee Stadium
yankee_stadium,36081039902,61.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047070601,105.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047088002,66.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047070602,,yankee_stadium,Yankee Stadium
yankee_stadium,36047006901,51.0,yankee_stadium,Yankee Stadium
yankee_stadium,36047006902,54.0,yankee_stadium,Yankee Stadium
