from_id,GEOID,travel_time_minutes,site_id,site_label,site_name
NWMW84L5lz,36081039400,107.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081039800,111.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040200,99.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081040400,94.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081041100,88.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081041400,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081041500,87.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081042700,91.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081043400,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081045000,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081045400,94.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081045500,93.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081045600,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081044602,89.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081044800,92.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081045800,98.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046200,95.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046300,84.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046400,102.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046500,80.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046600,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046700,80.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081046800,99.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081047000,97.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081047100,85.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081047200,103.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081047300,81.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081047500,85.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081004500,82.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081004700,79.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081005000,96.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081005300,81.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081005400,94.0,NWMW84L5lz,current,Sports Illustrated Stadium
NWMW84L5lz,36081005800,100.0,NWMW84L5lz,current,Sports Illustrated Stadium
