,0
venue_name,26.604041358673204
year,10.05924782897855
home_team,10.01446204709803
pct_commute_transit,7.000824127007383
day_of_week,6.719886234416504
points_back_from_playoff_line,5.200204005753356
team_league_tenure,4.979192284562916
days_since_last_home_game,4.7418312211681215
away_team,3.896910033419699
stadium_capacity,2.9104328270257334
stop_count_catchment,2.825643223414784
precipitation_mm,2.8245222293386614
ppg,2.558747683399136
temp_max_c,2.278805894063777
table_rank,2.2462871940690663
team_venue_tenure,1.9391131169057754
opponent_table_rank,1.630083594525227
shared_with_other_league,1.322489041641101
prior_sellout_rate,0.15213584471116529
dedicated_soccer_facility,0.09514020982777346
