site_label,site_name,reachable_population,white_nh_count,pct_white_nh,black_nh_count,pct_black_nh,asian_nh_count,pct_asian_nh,hispanic_latino_count,pct_hispanic_latino,weighted_median_household_income,weighted_median_age
current,Sports Illustrated Stadium,1051425.0,252033,23.970611313217777,317291,30.177235656371117,102356,9.734978719357063,327029,31.10340728059538,87278.09171730468,36.70657146253894
future,Etihad Park,3201230.0,1218725,38.070522892763094,304146,9.500910587492932,696183,21.747359608650424,793431,24.785191941847355,103492.3541269516,39.76380412943082
