scenario,total_attendance_2027,pct_of_capacity,league_growth_component,relocation_lift_component,implied_lift_pct
no_move_baseline,11594.595611317312,46.37838244526925,694.3228840445772,0.0,0.0
etihad_park_conservative_seattle_scm,16970.570990746633,67.88228396298653,694.3228840445772,5375.975379429321,46.36621715536082
etihad_park_optimistic_spirit_scm,24248.05481885232,96.99221927540928,694.3228840445772,12653.459207535008,109.13238918987527
