team,site_label,reachable_population,white_nh_count,pct_white_nh,black_nh_count,pct_black_nh,asian_nh_count,pct_asian_nh,hispanic_latino_count,pct_hispanic_latino,weighted_median_household_income,weighted_median_age
Kansas City Current,old,6028,3381,56.088254810882546,1387,23.009289980092902,288,4.777704047777041,382,6.337093563370935,99939.45255474452,37.441854678168546
Kansas City Current,new,123809,59724,48.23881947192854,32612,26.340572979347222,4236,3.4213990905346137,19877,16.054567923171984,56442.6225493493,34.34975244126033
San Diego Wave FC,old,358541,190964,53.261412223427726,15162,4.228805073896709,47209,13.166973930457045,80446,22.437043462253968,100183.46170439864,36.12844835039786
San Diego Wave FC,new,402583,194915,48.416103014782045,26988,6.703710787589142,43186,10.727228919253918,110976,27.56599260276763,90713.02217234494,35.06547494553918
Seattle Reign FC,old,77359,47837,61.837665947077916,8575,11.084683100867384,3835,4.957406378055559,8321,10.756343799687173,80275.34389017438,38.15743610956709
Seattle Reign FC,new,833559,461169,55.32529790932615,58368,7.002263786966489,168909,20.263592619118743,76812,9.214944593004216,128284.84655675243,36.5768295945458
Washington Spirit,old,25934,6848,26.405490861417448,5764,22.225649726228117,8084,31.17143518161487,3882,14.968766869746277,151979.57607773578,41.53415207835274
Washington Spirit,new,676306,212638,31.44109323294485,313817,46.40162884847983,26689,3.9462905844395877,89491,13.232323829745706,107870.4488493666,35.797276755943095
