cluster_name,weighted_pop_current,weighted_pop_future,change,pct_of_future_total,pct_of_current_total,pct_point_shift
"lower-income, black_nh-plurality, farther reach",292696.67313224677,295988.4801193212,3291.8069870744366,14.298026104840673,20.86168159716685,-6.563655492326177
"lower-income, hispanic/latino-plurality, farther reach",447391.4171662373,588719.3851071128,141327.9679408755,28.43869171291366,31.88740478102491,-3.4487130681112497
"higher-income, white_nh-plurality, closer reach",480481.9900270201,655302.7954182387,174820.80539121863,31.655071412535797,34.245904409674935,-2.590832997139138
"higher-income, asian_nh-plurality, closer reach",182464.81774329217,530124.6010269554,347659.7832836632,25.608210769709864,13.00500921213331,12.603201557576554
