scenario,attendance_2027,pct_of_capacity
no_move_baseline,9413.179364640699,37.6527174585628
"etihad_park_low (San Diego, growth-corrected, estimated)",12890.21846451225,51.56087385804901
"etihad_park_mid (Seattle, growth-corrected, measured)",13777.714550073619,55.11085820029448
"etihad_park_high (Washington Spirit, growth-corrected, measured)",19686.006904001413,78.74402761600565
