scheme,r2,pearson_r,mae,rmse
naive (in-sample),0.1537012307844149,0.39204748536932976,4067.620376968284,5425.691121844096
Leave-One-Venue-Out (pooled),-0.04466813983685003,0.17007185406964717,4462.882166287884,5847.530663742363
