scheme,r2,pearson_r,mae,rmse
naive (random 80/20 split),0.7882451139997793,0.8886028787033116,1485.1302702530686,2266.111453433542
Leave-One-Venue-Out (pooled),0.0038706440318152513,0.30774279368891927,4224.787481289592,5882.839968099062
