GEOID,population,median_household_income,median_age,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic_latino,transit_time_current,transit_time_future,delta_transit_time,cluster,cluster_name,weight_current,weight_future,weighted_pop_current,weighted_pop_future
36005000400,6481,98242.0,34.8,5.138095972843697,38.28112945533097,0.2931646350871779,53.74170652677056,118.0,81.0,-37.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.0654558826762892,0.15389305166811457,424.2195756250303,997.3808678610505
36005001600,6011,42957.0,42.1,1.730161370820163,34.71968058559308,4.69139910164698,54.882715022458825,113.0,72.0,-41.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07347174414272556,0.1894645708137998,441.63865404192336,1138.8715351617507
36005001901,2401,67361.0,32.8,14.785506039150354,36.44314868804665,0.4997917534360683,45.18950437317784,87.0,61.0,-26.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.2442899921085615,321.66601044370503,586.5402710526562
36005001902,1979,76429.0,35.6,4.69934310257706,17.33198585144012,0.0,48.55987872662961,89.0,60.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.25,253.15711653270228,494.75
36005002001,4300,23208.0,28.0,0.5581395348837209,39.48837209302326,0.0,49.81395348837209,111.0,82.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07694652583405728,0.15037812951026458,330.8700610864463,646.6259568941377
36005002002,3689,18029.0,47.0,0.9487666034155597,24.505285985361887,0.0,74.00379506641366,112.0,79.0,-33.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07518906475513229,0.16117128855494742,277.372459881683,594.560883479201
36005002300,4527,18750.0,31.7,0.15462778882261985,28.363154406891983,0.0,70.22310580958693,84.0,57.0,-27.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14358729437462942,0.2679433656340733,650.0196816339474,1212.9796162254497
36005002500,5460,27207.0,33.4,7.930402930402931,20.750915750915752,0.0,70.23809523809524,88.0,59.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.2558434729991938,714.7782388250778,1396.9053625755982
36005002701,2830,18788.0,32.9,0.8833922261484098,21.27208480565371,0.9540636042402827,76.8904593639576,89.0,60.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.25,362.0185142938592,707.5
36005002702,5156,31379.0,30.0,0.1551590380139643,29.48021722265322,0.0,69.29790535298682,88.0,59.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.2558434729991938,674.9810621578939,1319.1289467838433
36005002800,5420,66235.0,41.6,0.6088560885608856,59.83394833948339,0.0,39.55719557195572,103.0,75.0,-28.0,1,"lower-income, black_nh-plurality, farther reach",0.09256859701791026,0.17677669529663692,501.7217958370736,958.1296885077721
36005003100,2641,43480.0,30.6,1.7796289284361984,34.5702385460053,6.285497917455509,52.89663006436956,91.0,62.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.12214499605428075,0.23871040097760418,322.5849345793555,630.4341689818526
36005003300,3407,37957.0,34.0,2.700322864690343,34.5758732022307,0.0,62.723803933078955,91.0,63.0,-28.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.12214499605428075,0.23325824788420185,416.1480015569345,794.7108505414757
36005003500,3529,34508.0,34.1,3.5704165485973363,13.431567016151885,0.6800793425899688,77.61405497308019,87.0,64.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.22793062213955423,472.7860686613224,804.3671655304869
36005003800,1215,42614.0,28.8,0.3292181069958848,10.534979423868313,3.786008230452675,85.34979423868313,110.0,74.0,-36.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07874506561842959,0.1809086546800473,95.67525472639196,219.80401543625746
36005003900,6346,28508.0,33.1,3.9552473999369684,1.8594390167034351,0.2521273242987709,90.92341632524425,87.0,61.0,-26.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.2442899921085615,850.1842991569147,1550.2642899209313
36005004001,1378,76050.0,43.3,1.2336719883889695,12.69956458635704,28.809869375907112,51.59651669085631,108.0,64.0,-44.0,0,"higher-income, asian_nh-plurality, closer reach",0.0824692444233059,0.22793062213955423,113.64261881531553,314.08839730830573
36005004100,6272,21819.0,37.3,0.8769132653061225,31.935586734693878,1.0841836734693877,64.39732142857143,86.0,63.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13710312246182826,0.23325824788420185,859.9107840805868,1462.995730729714
36005004200,7976,52974.0,35.3,0.7021063189568706,29.70160481444333,0.22567703109327983,69.37061183550652,110.0,69.0,-41.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07874506561842959,0.2030630990890589,628.0706433725944,1619.6312783343337
36005004300,5041,29704.0,38.3,1.2695893671890497,27.950803412021425,0.0,65.80043642134497,82.0,63.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.15037812951026458,0.23325824788420185,758.0561508612437,1175.8548275842616
36005004400,4323,21016.0,35.6,1.0640758732361786,28.637520240573675,3.2616238723108952,64.0527411519778,106.0,71.0,-35.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.086369554997986,0.19389309522921686,373.3755862562935,838.1998506759045
36005004600,1784,21346.0,32.9,3.4192825112107625,28.1390134529148,0.0,67.48878923766816,108.0,76.0,-32.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.0824692444233059,0.17273910999597203,147.12513205117773,308.1665722328141
36005004800,4139,45118.0,31.1,1.4254650881855522,16.25996617540469,3.140855279052911,78.69050495288717,101.0,68.0,-33.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09694654761460844,0.20780947403569697,401.26176057686433,860.1234130337498
36005005001,4597,35164.0,29.9,0.5873395692843159,29.93256471611921,1.4574722645203393,67.67457037198173,102.0,71.0,-31.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09473228540689989,0.19389309522921686,435.4843160155188,891.3265587687099
36005005002,6338,36066.0,29.1,0.347112653834017,24.21899652887346,0.0,70.65320290312401,98.0,67.0,-31.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1039047370178485,0.21266679023771395,658.5482232191238,1347.882116526631
36005005100,6795,25468.0,34.1,1.2067696835908757,35.76158940397351,0.0,59.69094922737307,80.0,56.0,-24.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.15749013123685918,0.2742062449236565,1070.145441754458,1863.2314342562456
36005005200,1787,35147.0,32.8,0.0,29.26692781197538,0.0,69.66983771684387,98.0,72.0,-26.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1039047370178485,0.1894645708137998,185.67776505089526,338.57318804426023
36005005300,4596,22352.0,32.4,2.6979982593559617,46.845082680591815,0.0,46.21409921671018,103.0,80.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09256859701791026,0.15749013123685918,425.44527189431557,723.8246431646048
36005005400,5306,58452.0,33.3,0.4900113079532605,26.215604975499435,2.0731247644176403,64.36110064078402,98.0,67.0,-31.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1039047370178485,0.21266679023771395,551.3185346167041,1128.4099890013104
36005005600,2531,47628.0,34.8,1.9755037534571316,12.445673646779928,4.227578032398261,70.9996048992493,98.0,70.0,-28.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1039047370178485,0.19842513149602495,262.98288939217457,502.21400781643916
36005005902,3044,46902.0,37.1,25.06570302233903,23.028909329829172,2.0367936925098555,49.47437582128778,84.0,64.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14358729437462942,0.22793062213955423,437.0797240763719,693.820813792803
36005006000,1220,53371.0,34.1,0.4918032786885246,14.098360655737705,0.0,84.67213114754098,94.0,65.0,-29.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1139653110697771,0.22272467953508487,139.03767950512807,271.72410903280354
36005006100,3835,75608.0,48.6,1.5384615384615385,80.3129074315515,0.7822685788787483,17.001303780964797,85.0,64.0,-21.0,1,"lower-income, black_nh-plurality, farther reach",0.14030775603867163,0.22793062213955423,538.0802444083057,874.1139359051905
36005006200,6206,27243.0,31.2,0.3061553335481792,30.09990331936835,0.3867225265871737,69.2072188204963,100.0,67.0,-33.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09921256574801247,0.21266679023771395,615.7131830321654,1319.8101002152528
36005006301,6244,58118.0,38.2,18.513773222293402,35.74631646380525,1.6015374759769379,43.11338885329917,80.0,61.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.15749013123685918,0.2442899921085615,983.3683794429487,1525.346710725858
36005006400,3847,40778.0,35.2,3.769170782427866,33.272680010397714,1.5336625942292696,54.32804782947751,102.0,66.0,-36.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09473228540689989,0.21763764082403103,364.43510196034384,837.2520042500473
36005006500,5182,24184.0,30.5,4.670011578541104,26.148205326128906,1.3315322269394056,67.81165573137784,80.0,60.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.15749013123685918,0.25,816.1138600694043,1295.5
36005006800,2621,33996.0,29.5,0.0,11.522319725295688,10.644792064097672,65.01335368180084,103.0,67.0,-36.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09256859701791026,0.21266679023771395,242.62229278394278,557.3996572130483
36005006900,6524,32199.0,32.8,0.674432863274065,33.41508277130595,0.5824647455548743,65.25137952176578,85.0,66.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.21763764082403103,915.3678003962937,1419.8679687359784
36005007000,4201,43672.0,34.5,5.6653177814806,20.87598190906927,9.164484646512735,52.82075696262795,103.0,64.0,-39.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09256859701791026,0.22793062213955423,388.880676072241,957.5365436082673
36005007100,2562,34853.0,39.4,2.380952380952381,28.53239656518345,3.083528493364559,66.0031225604996,83.0,64.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14694348828545112,0.22793062213955423,376.46921698732575,583.9582539215379
36005007200,5371,64464.0,40.1,4.058834481474586,10.57531185998883,47.533047849562465,33.71811580711227,104.0,60.0,-44.0,0,"higher-income, asian_nh-plurality, closer reach",0.09045432734002365,0.25,485.830192143267,1342.75
36005007300,4555,31442.0,29.6,0.3951701427003293,44.19319429198683,1.5806805708013172,52.8430296377607,82.0,63.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.15037812951026458,0.23325824788420185,684.9723799192552,1062.4913191125395
36005007400,3281,52641.0,44.6,2.0725388601036268,33.7397135019811,0.0,61.353245961597075,113.0,69.0,-44.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07347174414272556,0.2030630990890589,241.06079253228256,666.2500281112023
36005007500,6543,35892.0,31.4,0.5196393091853889,31.82026593305823,0.44322176371694944,64.3435732844261,84.0,65.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14358729437462942,0.22272467953508487,939.4916670932002,1457.2875781980604
36005007600,5317,53650.0,37.3,1.7114914425427872,23.4718826405868,10.682715817190145,60.7109272145947,101.0,62.0,-39.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09694654761460844,0.23871040097760418,515.4647936668731,1269.2232019979215
36005007700,1996,44447.0,31.4,1.0521042084168337,15.93186372745491,0.0,82.81563126252505,84.0,65.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14358729437462942,0.22272467953508487,286.6002395717603,444.5584603520294
36005007800,5858,58513.0,35.2,3.2434277910549674,21.235916695117787,4.540798907476955,56.282007511095934,107.0,57.0,-50.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08439687163551189,0.2679433656340733,494.39687404082866,1569.6122358844013
36005007900,6987,36514.0,32.7,0.35780735651925005,24.144840417918992,0.0,74.39530556748247,83.0,64.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14694348828545112,0.22793062213955423,1026.694152650447,1592.5512568890654
36005008300,6588,53560.0,33.8,0.4705525197328476,12.431693989071038,0.0,85.64055859137827,87.0,65.0,-22.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13397168281703667,0.22272467953508487,882.6054463986376,1467.310188777139
36005008500,5665,43531.0,37.8,1.2003530450132391,21.624007060900265,2.471315092674316,68.33186231244484,88.0,67.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.21266679023771395,741.6151507223562,1204.7573666966496
36005008600,4117,24023.0,38.1,1.675977653631285,38.91182900170027,4.493563274228808,50.303619140150595,115.0,66.0,-49.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07015387801933584,0.21763764082403103,288.82351580560567,896.0141672725357
36005008700,6299,40708.0,34.0,0.9366566121606604,21.971741546277187,0.0,76.98047309096683,85.0,66.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.14030775603867163,0.21763764082403103,883.7985552875925,1370.8994995505714
36005008900,2993,36625.0,46.2,1.236217841630471,13.999331774139659,0.0,79.61911125960575,89.0,66.0,-23.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.21763764082403103,382.86975734329354,651.3894589863248
36005009200,5675,56913.0,37.2,4.599118942731278,7.9118942731277535,25.90308370044053,58.23788546255506,105.0,57.0,-48.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.08838834764831845,0.2679433656340733,501.6038729042072,1520.578599973366
36005009301,5615,54241.0,31.4,1.5494211932324131,25.057880676758682,0.0,71.71861086375779,98.0,72.0,-26.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1039047370178485,0.1894645708137998,583.4250983552193,1063.843565119486
36005009600,2352,53523.0,43.1,7.1853741496598635,11.862244897959183,18.239795918367346,57.61054421768708,108.0,60.0,-48.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.0824692444233059,0.25,193.96766288361547,588.0
36005009800,4647,67500.0,50.0,0.45190445448676564,23.821820529373788,5.315257155153863,59.43619539487842,110.0,60.0,-50.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.07874506561842959,0.25,365.9283199288423,1161.75
36005011502,3850,30172.0,35.4,1.0389610389610389,26.103896103896105,0.0,71.14285714285714,96.0,72.0,-24.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.10881882041201553,0.1894645708137998,418.9524585862598,729.4385976331292
36005011701,1318,35298.0,30.1,0.6069802731411229,11.380880121396055,0.0,85.43247344461305,101.0,73.0,-28.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.09694654761460844,0.18513719403582055,127.77554975605392,244.01082173921148
36005011900,5889,36250.0,24.5,0.54338597384955,37.204958397011374,0.0,56.85175751400917,88.0,69.0,-19.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.13091176535257834,0.2030630990890589,770.9393861613338,1195.8385905354678
36005012101,3413,51205.0,35.6,1.0840902431878112,28.62584236741869,0.5566949897450922,68.50278347494873,89.0,69.0,-20.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.2030630990890589,436.59688667312423,693.0543571909581
36005012102,1495,43032.0,36.3,0.0,37.19063545150502,0.0,60.735785953177256,89.0,67.0,-22.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.1279217364995969,0.21266679023771395,191.24299606689738,317.93685140538236
36005012300,4092,36154.0,36.7,0.09775171065493646,52.541544477028346,1.2218963831867058,45.62561094819159,90.0,69.0,-21.0,2,"lower-income, hispanic/latino-plurality, farther reach",0.12500000000000003,0.2030630990890589,511.5000000000001,830.934201472429
